GeneID	Name	KSIJ01	KSIJ02	KSIJ03	KSIJ04	KSIJ05	KSIJ06
gene1579	lsrA	14	5	9	34	15	30
gene158	erpA	1050	1028	1349	509	589	517
gene1580	lsrC	0	3	2	10	9	15
gene1581	lsrD	7	10	5	14	24	29
gene1582	lsrB	2	4	4	23	15	23
gene1583	lsrF	8	4	6	29	23	18
gene1584	lsrG	2	6	7	10	10	11
gene1585	tam	29	24	29	122	77	68
gene1586	yneE	250	193	261	67	75	65
gene1587	uxaB	354	476	262	756	837	1095
gene1588	dgcF	312	275	374	328	326	383
gene1589	yneG	20	33	40	22	20	23
gene159	yadS	131	125	150	90	131	116
gene1590	glsB	155	177	119	145	132	129
gene1591	sad	70	81	75	142	167	137
gene1592	yneJ	62	44	93	42	40	27
gene1593	yneK	132	154	161	4	2	3
gene1594	ydeA	126	104	169	61	55	40
gene1595	marC	80	115	68	91	109	99
gene1596	marR	1303	1134	1530	148	142	110
gene1597	marA	1254	1354	1689	190	177	168
gene1598	marB	223	204	286	25	26	13
gene1599	eamA	174	119	157	68	90	83
gene16	mokC	46	48	88	107	99	150
gene160	btuF	131	136	132	255	404	351
gene1600	ydeE	67	72	72	68	54	49
gene1601	mgtS	1585	1978	2669	1440	1723	968
gene1602	mgrR	135	140	238	371	200	140
gene1603	dgcZ	294	236	333	58	79	86
gene1604	ydeI	57	66	52	5	2	1
gene1605	ydeJ	540	734	802	33	31	26
gene1606	dcp	104	95	135	341	343	232
gene1607	ydfG	231	205	269	906	949	838
gene1608	ydfH	693	637	806	1083	1256	1313
gene1609	ydfZ	185	225	162	369	213	216
gene161	mtn	521	342	557	1160	1196	1491
gene1610	ydfI	160	144	158	29	36	21
gene1611	ydfJ	467	464	573	14	20	17
gene1612	ynfT	1082	1366	1620	877	1222	1051
gene1613	ydfK	269	259	213	195	221	123
gene1614	pinQ	164	194	150	55	87	90
gene1615	tfaQ	8	11	6	1	0	1
gene1616	ydfN	11	16	38	6	3	6
gene1617	nohA	22	31	21	1	1	11
gene1618	ynfO	4	10	7	9	6	4
gene1619	ydfO	30	32	40	3	1	3
gene162	dgt	232	171	233	223	319	291
gene1620	gnsB	759	1092	909	761	539	480
gene1621	ynfN	409	323	504	282	331	433
gene1622	ynfR	176	223	295	272	329	372
gene1623	ynfQ	663	645	1029	755	873	926
gene1624	cspI	2286	2473	3043	1793	1854	2114
gene1625	rzpQ	110	107	95	7	13	5
gene1626	rzoQ	58	56	56	6	9	4
gene1627	rrrQ	75	101	119	6	15	19
gene1628	ydfR	254	223	212	16	23	28
gene1629	essQ	1448	2375	675	89	82	135
gene163	degP	759	617	633	795	882	760
gene1630	cspB	12497	13550	23265	15452	14288	16144
gene1631	cspF	567	445	660	53	79	106
gene1632	ynfS	535	421	746	53	76	82
gene1633	ydfT	32	20	29	9	14	9
gene1634	ydfU	180	143	185	17	27	40
gene1635	rem	198	216	129	22	20	21
gene1636	hokD	535	438	745	166	216	179
gene1637	relE	1854	1619	1888	410	330	363
gene1638	relB	1752	1649	2187	435	425	396
gene1639	ydfV	2	3	5	8	6	3
gene164	cdaR	49	41	51	78	80	137
gene1640	flxA	343	326	368	589	659	573
gene1641	ydfW	8	4	3	4	3	2
gene1642	ydfX	16	13	16	17	19	16
gene1643	dicC	12	12	14	14	20	14
gene1644	dicA	255	257	311	410	455	397
gene1645	ydfA	56	74	52	6	5	24
gene1646	ydfB	13	6	16	2	2	12
gene1647	ydfC	12	10	22	10	5	5
gene1648	dicF	20	15	32	114	87	79
gene1649	dicB	18	21	23	0	1	0
gene165	yaeH	119	121	168	334	291	296
gene1650	ydfD	16	5	12	0	2	0
gene1654	ynfP	3	1	1	0	0	0
gene1655	rspB	29	28	42	29	39	26
gene1656	rspA	42	39	21	14	18	20
gene1657	ynfA	25	35	46	23	23	25
gene1658	ynfB	186	165	237	272	304	191
gene1659	speG	291	273	360	558	590	436
gene166	yaeI	85	102	74	162	183	198
gene1660	ynfC	94	99	137	135	174	129
gene1661	ynfD	61	32	52	387	403	185
gene1662	ynfE	14	24	17	107	89	63
gene1663	ynfF	46	41	33	164	106	117
gene1664	ynfG	10	8	12	33	26	24
gene1665	ynfH	698	1006	453	429	384	530
gene1666	dmsD	153	133	136	217	230	277
gene1667	clcB	95	79	103	29	51	62
gene1668	ynfK	44	55	49	672	769	558
gene1669	mlc	70	83	80	214	311	293
gene167	dapD	382	353	421	2008	1834	1694
gene1670	ynfL	82	115	127	45	44	22
gene1671	ynfM	97	73	92	100	133	119
gene1672	asr	11	4	10	4	6	5
gene1673	ydgU	0	4	2	2	0	2
gene1674	ydgD	83	75	121	375	280	193
gene1675	mdtI	625	576	628	62	88	95
gene1676	mdtJ	1013	1022	1015	73	109	136
gene1677	tqsA	181	178	166	169	203	206
gene1678	pntB	304	278	450	912	1036	773
gene1679	pntA	415	411	448	1394	1304	1206
gene168	glnD	307	251	262	472	639	471
gene1680	ydgH	223	246	263	400	454	421
gene1681	ydgI	269	286	374	79	96	118
gene1682	folM	61	50	56	38	33	21
gene1683	ydgC	49	75	78	30	39	30
gene1684	rstA	1033	977	1008	600	596	572
gene1685	rstB	465	443	483	653	718	553
gene1686	tus	122	118	144	103	122	96
gene1687	fumC	145	157	156	154	209	234
gene1688	fumA	283	276	247	597	1137	1094
gene1689	manA	153	204	308	648	723	510
gene169	map	2351	2425	1912	2020	2372	2328
gene1690	ydgA	502	414	464	2605	1768	1274
gene1691	uidC	58	76	62	5	9	10
gene1692	uidB	23	24	21	13	36	56
gene1693	uidA	56	40	44	56	99	113
gene1694	uidR	274	207	222	544	741	726
gene1695	hdhA	129	148	151	611	399	304
gene1696	malI	48	55	67	275	292	343
gene1697	malX	96	67	62	181	197	390
gene1698	malY	112	95	125	170	183	303
gene1699	add	346	299	347	395	462	447
gene17	hokC	38	42	67	90	84	127
gene170	tff	1440	1054	1967	1223	1292	1471
gene1700	ydgJ	321	283	266	268	285	288
gene1701	blr	722	835	1150	657	692	734
gene1702	cnu	1194	1376	1543	227	212	309
gene1703	ydgK	1447	1365	1879	307	381	439
gene1704	rsxA	1315	1522	1908	368	397	490
gene1705	rsxB	626	618	606	255	276	427
gene1706	rsxC	502	497	587	271	314	328
gene1707	rsxD	295	235	278	174	243	253
gene1708	rsxG	210	173	137	138	142	135
gene1709	rsxE	371	302	334	244	253	291
gene171	rpsB	17009	12510	16718	13638	15962	21203
gene1710	nth	212	200	248	198	223	256
gene1711	dtpA	2055	1446	2076	1057	1472	1599
gene1712	gstA	107	110	112	122	123	86
gene1713	pdxY	199	183	195	285	355	293
gene1714	tyrS	971	908	1045	1516	1625	1570
gene1715	pdxH	92	86	142	179	192	165
gene1716	mliC	307	379	429	90	94	114
gene1717	anmK	141	144	148	142	167	172
gene1718	slyB	1364	1235	1750	1582	1603	1528
gene1719	slyA	446	360	689	443	487	480
gene172	tsf	15876	14446	15616	12437	11777	15248
gene1720	ydhI	263	255	263	137	131	143
gene1721	ydhJ	355	323	307	113	160	140
gene1722	ydhK	149	104	142	116	123	113
gene1723	sodC	41	46	46	307	192	219
gene1724	ydhF	86	54	91	526	425	520
gene1725	ydhL	20	9	34	53	41	12
gene1726	nemR	648	566	631	116	124	118
gene1727	nemA	946	974	928	235	273	190
gene1728	gloA	343	284	333	362	360	244
gene1729	rnt	240	196	348	122	131	171
gene173	pyrH	687	595	565	469	604	535
gene1730	lhr	182	167	176	191	205	154
gene1731	grxD	807	697	1108	1284	1275	1214
gene1732	mepH	162	155	166	94	78	87
gene1733	sodB	847	715	1277	3866	3622	3269
gene1734	ydhP	94	70	102	69	92	83
gene1735	ynhF	289	363	440	1015	1172	1059
gene1736	purR	601	518	717	416	528	676
gene1737	ydhB	88	88	123	127	103	116
gene1738	ydhC	65	67	56	281	256	291
gene1739	cfa	1162	1034	1212	860	663	681
gene174	frr	7997	8578	4681	3788	3620	3977
gene1740	ribC	363	420	331	641	584	500
gene1741	mdtK	535	488	519	235	282	259
gene1742	ydhQ	138	182	135	344	328	229
gene1743	valV	11776	8776	26535	47188	33391	40123
gene1744	valW	2116	1337	5202	5746	5163	6061
gene1745	ydhR	1760	1548	2789	317	275	256
gene1746	ydhS	313	338	336	144	79	50
gene1747	ydhT	15	9	10	11	14	16
gene1748	ydhU	19	23	22	25	18	26
gene1749	ydhX	23	7	21	18	4	7
gene175	dxr	295	263	320	431	434	377
gene1750	ydhW	24	22	20	15	16	17
gene1751	ydhV	126	177	152	74	45	38
gene1752	ydhY	114	105	136	38	42	41
gene1753	fumD	74	40	78	33	30	22
gene1754	pykF	3632	3685	2766	6369	4868	4248
gene1755	lpp	36395	27318	70940	61866	61796	66383
gene1756	ldtE	63	37	64	196	138	126
gene1757	sufE	19	15	29	119	114	50
gene1758	sufS	85	47	78	277	392	256
gene1759	sufD	40	49	39	181	270	102
gene176	ispU	1480	1729	1505	500	508	720
gene1760	sufC	69	48	43	199	234	82
gene1761	sufB	176	171	147	438	479	232
gene1762	sufA	131	64	119	183	244	121
gene1763	rydB	72	36	51	88	78	52
gene1764	ydiH	61	50	63	144	191	66
gene1765	menI	35	31	34	104	131	104
gene1766	ydiJ	123	132	151	568	683	411
gene1767	ydiK	135	117	192	275	314	288
gene1768	rprA	1068	966	2254	935	706	401
gene1769	ydiL	193	213	196	5	8	12
gene177	cdsA	451	387	481	325	366	447
gene1770	ydiM	58	80	62	7	10	14
gene1771	ydiN	48	62	41	2	2	3
gene1772	ydiB	25	25	17	16	5	12
gene1773	aroD	44	67	70	68	78	72
gene1774	ydiF	34	52	28	1	5	6
gene1775	ydiO	24	42	33	7	8	2
gene1776	ydiP	57	55	94	24	13	27
gene1777	ydiQ	29	35	30	7	2	7
gene1778	ydiR	31	28	21	16	21	22
gene1779	ydiS	11	25	13	10	11	19
gene178	rseP	1541	1602	1705	1152	1472	1436
gene1780	ydiT	2	7	8	5	2	3
gene1781	fadK	14	16	22	18	17	20
gene1782	ppsA	1302	1165	1169	558	619	507
gene1783	ppsR	38	50	58	71	64	34
gene1784	aroH	436	374	485	178	226	229
gene1785	ydiE	633	604	942	102	275	158
gene1786	ydiU	584	509	591	398	522	467
gene1787	ydiV	150	157	258	139	193	125
gene1788	nlpC	135	132	164	162	174	160
gene1789	btuD	67	86	76	119	123	70
gene179	bamA	5148	5279	4389	5072	5438	5645
gene1790	btuE	66	58	50	140	128	65
gene1791	btuC	215	299	289	245	285	303
gene1792	ihfA	6310	11477	5148	10015	6007	5699
gene1793	pheT	2648	2097	1802	3348	4006	3775
gene1794	pheS	670	550	646	692	936	970
gene1795	pheM	140	218	311	133	123	114
gene1796	rplT	18071	13368	30465	12152	13449	18256
gene1797	rpmI	55812	85002	23516	25595	11746	17452
gene1798	infC	21783	19578	20984	13579	13592	17884
gene1799	thrS	7983	7673	6831	8725	9929	8540
gene18	sokC	421	214	974	587	461	550
gene180	skp	4852	4955	4563	7894	6702	7559
gene1801	yniD	69	55	70	31	38	33
gene1802	ydiY	197	193	301	94	109	151
gene1803	pfkB	64	55	48	129	115	77
gene1804	ydiZ	30	20	24	62	36	5
gene1805	yniA	38	42	47	451	349	390
gene1806	yniB	314	285	335	419	420	343
gene1807	hxpB	192	116	190	138	175	167
gene1808	ydjM	110	170	156	123	121	165
gene1809	tcyP	734	605	951	276	348	523
gene181	lpxD	4341	4207	5858	12405	10077	12160
gene1810	ydjO	182	245	298	2	3	6
gene1811	cedA	88	52	83	43	58	72
gene1812	katE	44	42	36	271	86	55
gene1813	chbG	58	67	64	65	71	73
gene1814	chbF	152	167	154	41	49	57
gene1815	chbR	139	129	147	82	50	75
gene1816	chbA	66	36	32	16	31	18
gene1817	chbC	49	32	48	27	33	38
gene1818	chbB	39	53	81	44	45	61
gene1819	osmE	133	137	209	1330	662	315
gene182	fabZ	2560	2769	3032	2030	2300	2336
gene1820	nadE	158	111	143	460	413	234
gene1821	cho	241	299	373	621	789	687
gene1822	ves	126	116	158	157	158	205
gene1823	spy	108	137	200	100	74	39
gene1824	astE	8	10	14	4	11	12
gene1825	astB	19	19	13	17	14	34
gene1826	astD	20	10	19	29	23	28
gene1827	astA	16	15	16	4	4	6
gene1828	astC	39	27	37	15	16	27
gene1829	xthA	189	203	232	222	223	255
gene183	lpxA	1954	1766	2135	1617	1924	2116
gene1830	ydjX	26	39	36	99	164	196
gene1831	ydjY	2	18	5	39	75	56
gene1832	ydjZ	17	21	38	70	101	120
gene1833	ynjA	32	10	16	89	140	142
gene1834	ynjB	46	26	39	170	188	261
gene1835	ynjC	33	28	43	152	182	245
gene1836	ynjD	31	20	42	69	80	120
gene1837	ynjE	27	15	19	193	205	262
gene1838	ynjF	68	40	52	91	90	73
gene1839	nudG	10	10	16	19	16	21
gene184	lpxB	940	978	1006	985	1230	1314
gene1840	ynjH	127	114	144	338	305	315
gene1841	gdhA	237	326	369	600	665	392
gene1842	ynjI	191	259	260	77	76	80
gene1843	topB	406	376	419	1028	1203	1095
gene1844	selD	355	384	415	1063	1334	1149
gene1845	ydjA	204	195	269	407	522	435
gene1846	sppA	452	462	474	610	788	853
gene1847	ansA	205	170	214	235	319	285
gene1848	pncA	107	143	98	157	197	169
gene1849	ydjE	448	602	528	26	21	38
gene185	rnhB	393	396	318	401	577	577
gene1850	ydjF	193	271	346	92	88	107
gene1851	ydjG	93	68	101	28	38	31
gene1852	ydjH	43	57	58	8	14	25
gene1853	ydjI	65	75	84	13	33	17
gene1854	ydjJ	28	44	28	5	8	12
gene1855	ydjK	25	29	18	18	13	29
gene1856	ydjL	34	26	17	13	11	43
gene1857	yeaC	126	115	89	261	286	202
gene1858	msrB	272	229	332	1066	1008	864
gene1859	gapA	7026	5704	10425	57497	65129	63620
gene186	dnaE	2863	2307	2663	2293	2616	2810
gene1860	yeaD	82	54	89	603	730	420
gene1861	yeaE	175	142	199	222	202	205
gene1862	mipA	658	576	811	762	746	876
gene1863	yeaG	59	36	45	730	306	127
gene1864	yeaH	65	22	122	333	248	386
gene1865	cdgI	67	78	118	10	18	8
gene1866	dgcJ	585	566	846	196	147	193
gene1867	yeaK	279	245	380	224	240	235
gene1868	yoaI	18	12	14	4	7	3
gene1869	yeaL	42	61	62	30	27	23
gene187	accA	1931	1603	1578	1272	1453	1517
gene1870	nimR	60	61	71	84	86	53
gene1871	nimT	34	18	33	24	24	30
gene1872	yeaO	30	38	56	98	90	67
gene1873	yoaF	19	38	40	47	46	20
gene1874	dgcP	365	317	384	267	288	263
gene1875	yoaK	10	18	19	30	23	24
gene1876	yoaJ	30	34	62	37	32	30
gene1877	yeaQ	73	69	147	374	147	83
gene1878	yoaG	27	29	29	16	22	14
gene1879	yeaR	19	16	38	18	22	15
gene188	ldcC	225	214	183	365	179	135
gene1880	leuE	214	188	267	81	113	160
gene1881	dmlR	35	66	69	247	239	374
gene1882	dmlA	8	14	14	25	24	17
gene1883	yeaV	13	19	35	2	5	8
gene1884	yeaW	22	25	14	6	12	11
gene1885	yeaX	7	13	9	6	4	6
gene1886	rnd	486	389	509	336	359	484
gene1887	fadD	304	345	368	166	157	185
gene1888	yeaY	139	116	122	94	92	130
gene1889	tsaB	699	786	895	382	386	530
gene189	yaeR	71	71	94	87	75	77
gene1890	yoaA	324	307	425	393	402	424
gene1891	yoaB	241	213	368	322	298	231
gene1892	yoaC	98	103	107	53	44	36
gene1893	yoaH	112	103	114	134	135	104
gene1894	pabB	456	660	479	456	395	433
gene1895	nudL	362	535	444	566	529	529
gene1896	sdaA	438	414	420	1281	1011	1347
gene1897	pdeD	69	45	60	41	40	43
gene1898	yoaE	184	205	203	300	404	496
gene1899	yoaL	85	93	117	84	139	152
gene19	nhaA	551	640	664	675	678	798
gene190	tilS	376	357	362	347	297	397
gene1900	manX	104	71	126	3060	3034	2963
gene1901	manY	120	105	112	3032	3508	3412
gene1902	manZ	149	143	145	3025	3432	3428
gene1903	yobD	70	94	79	329	279	370
gene1904	mntP	416	443	561	69	43	79
gene1905	rlmA	570	519	663	143	190	247
gene1906	cspC	2463	2236	4767	7121	8548	9748
gene1907	yobF	654	544	978	2018	2627	2183
gene1908	yebO	1811	1639	2733	648	864	857
gene1909	mgrB	534	317	852	204	269	225
gene191	rof	93	70	85	353	369	390
gene1910	yobH	109	110	176	19	27	47
gene1911	kdgR	231	260	268	474	404	474
gene1912	yebQ	50	41	39	37	26	33
gene1913	htpX	756	795	824	633	890	801
gene1914	prc	2672	2279	2661	2397	2580	2752
gene1915	proQ	1772	1431	1680	1124	1460	1407
gene1916	msrC	500	446	529	742	805	899
gene1917	yebS	234	249	269	425	438	399
gene1918	yebT	240	239	262	443	441	395
gene1919	rsmF	131	90	133	125	103	117
gene192	yaeP	79	64	104	202	291	216
gene1920	yebV	54	39	72	193	125	130
gene1921	yebW	18	17	27	40	16	19
gene1922	pphA	54	49	59	36	24	18
gene1923	ryeA	202	196	357	312	310	440
gene1924	sdsR	45	57	95	238	83	57
gene1925	yebY	837	1013	1063	274	291	303
gene1926	yebZ	1088	982	991	717	1033	918
gene1927	yobA	1847	1768	1860	418	516	368
gene1928	holE	77	49	104	59	49	47
gene1929	yobB	114	99	128	49	64	61
gene193	yaeQ	177	155	146	330	344	364
gene1930	exoX	222	260	290	198	217	239
gene1931	ptrB	170	139	153	220	229	217
gene1932	yebE	337	324	489	157	168	198
gene1933	yebF	1167	1095	1240	1023	1208	1042
gene1934	yebG	2826	2970	2517	1131	1607	1172
gene1935	purT	27	10	22	4	8	13
gene1936	eda	210	192	218	762	852	666
gene1937	edd	167	119	179	1337	2077	1686
gene1938	zwf	371	365	462	1174	1294	1029
gene1939	yebK	147	141	187	1041	1150	1545
gene194	arfB	66	40	50	97	113	94
gene1940	pykA	236	191	246	3604	3992	3915
gene1941	lpxM	483	466	360	204	273	342
gene1942	mepM	844	838	711	584	777	785
gene1943	znuA	511	412	592	343	396	465
gene1944	znuC	507	387	543	1014	1139	1225
gene1945	znuB	74	57	82	160	156	155
gene1946	ruvB	352	314	375	245	274	252
gene1947	ruvA	414	490	555	231	244	278
gene1948	yobI	59	110	75	7	6	15
gene1949	yebB	64	63	97	8	11	13
gene195	nlpE	269	230	299	257	286	231
gene1950	ruvC	296	204	301	517	501	462
gene1951	yebC	578	541	626	1066	1025	1106
gene1952	nudB	492	469	606	906	878	835
gene1953	aspS	1702	1610	1460	2472	2851	2654
gene1954	yecD	43	43	44	193	198	142
gene1955	yecE	62	60	60	123	173	115
gene1956	yecN	100	86	158	188	203	214
gene1957	cmoA	308	317	375	205	208	239
gene1958	cmoB	283	284	338	286	268	268
gene1959	torZ	1197	1807	899	76	63	75
gene196	yaeF	65	93	107	44	62	65
gene1960	torY	939	1512	736	15	21	26
gene1961	micL	104	100	175	220	225	304
gene1962	cutC	599	565	1021	1133	1046	1281
gene1963	yecM	85	75	87	111	129	108
gene1964	argS	1751	1716	1571	761	752	1069
gene1965	yecT	114	89	129	22	17	23
gene1966	flhE	56	54	41	355	428	306
gene1967	flhA	163	141	171	1295	1370	969
gene1968	flhB	356	363	416	1598	1803	1529
gene1969	cheZ	207	191	192	1220	1450	940
gene197	proS	1178	916	1272	1809	2053	2461
gene1970	cheY	204	127	148	841	959	534
gene1971	cheB	244	210	165	987	1046	769
gene1972	cheR	245	239	190	1558	1811	1360
gene1973	tap	657	669	561	3955	4462	3179
gene1974	tar	796	700	825	4586	4927	4224
gene1975	cheW	552	450	483	1934	1771	1446
gene1976	cheA	1314	1292	1179	6045	6914	5508
gene1977	motB	991	940	867	2557	3213	2500
gene1978	motA	3331	3517	2220	4226	4746	5148
gene1979	flhC	504	429	531	1000	1108	1200
gene198	trmO	122	83	129	106	129	138
gene1980	flhD	112	105	106	384	453	643
gene1981	insB-5	0	0	0	0	0	0
gene1982	insA-5	0	0	0	0	0	0
gene1983	uspC	44	22	50	62	109	126
gene1984	otsA	153	151	157	1005	477	312
gene1985	otsB	34	47	56	625	281	147
gene1986	araH	29	25	29	37	41	39
gene1987	araG	41	44	45	28	31	48
gene1988	araF	76	86	59	38	47	56
gene1989	ftnB	292	234	364	90	100	129
gene199	rcsF	485	567	637	267	269	289
gene1990	yecJ	330	237	360	60	94	81
gene1991	azuC	7490	11759	7142	1207	897	876
gene1992	yecR	101	99	145	1174	2278	1984
gene1993	ftnA	598	663	756	809	769	758
gene1994	yecH	7	14	16	60	38	56
gene1995	tyrP	473	372	429	96	79	81
gene1996	yecA	323	316	414	257	358	245
gene1997	leuZ	36261	20190	68329	43383	25868	33502
gene1998	cysT	32965	18698	72491	58345	38823	39896
gene1999	glyW	1000	963	2376	427	315	557
gene2	thrB	724	617	484	426	439	433
gene20	nhaR	443	366	460	251	188	200
gene200	metQ	1112	975	1126	744	797	699
gene2000	pgsA	161	152	216	608	686	616
gene2001	uvrC	392	357	473	943	1021	743
gene2002	uvrY	495	405	604	481	458	514
gene2003	yecU	50	59	92	15	15	9
gene2004	yecF	243	187	336	32	30	27
gene2005	sdiA	612	469	663	223	318	291
gene2006	sdsN	15	13	26	13	11	8
gene2007	tcyN	71	58	87	314	327	262
gene2008	tcyL	68	31	65	324	290	196
gene2009	dcyD	131	174	187	319	352	191
gene201	metI	259	270	313	130	134	115
gene2010	tcyJ	238	216	218	1185	1363	911
gene2011	fliZ	266	227	231	1514	1731	1324
gene2012	fliA	2252	1781	2182	12377	14216	16184
gene2013	fliC	26803	22572	24201	116888	131370	139614
gene2014	fliD	434	354	312	2081	2730	1786
gene2015	fliS	208	137	154	1107	1483	992
gene2016	fliT	273	187	223	1416	2093	1619
gene2017	amyA	253	214	235	1052	1152	1076
gene2018	yedD	341	220	392	500	502	543
gene2019	yedE	69	68	93	191	306	611
gene202	metN	575	553	563	182	146	141
gene2020	yedF	4	6	9	23	29	28
gene2021	yedK	14	17	20	17	13	29
gene2022	yedL	12	6	16	2	2	2
gene2025	fliE	60	42	48	195	206	175
gene2026	fliF	619	473	542	5209	5725	4634
gene2027	fliG	768	544	667	7283	7780	6579
gene2028	fliH	409	317	364	3876	4281	3261
gene2029	fliI	314	249	289	3404	3837	2860
gene203	gmhB	174	135	208	380	416	450
gene2030	fliJ	120	112	70	657	824	408
gene2031	fliK	237	238	176	1481	1595	941
gene2032	fliL	475	383	545	1958	2216	1631
gene2033	fliM	798	624	568	4188	4163	2985
gene2034	fliN	635	526	516	2667	2696	1985
gene2035	fliO	188	166	212	944	1079	734
gene2036	fliP	174	159	187	806	785	632
gene2037	fliQ	140	95	130	361	439	421
gene2038	fliR	302	233	312	811	1251	1261
gene2039	rcsA	912	1013	1266	78	73	94
gene204	rrsH	176	272	374	183	121	116
gene2040	dsrB	60	48	49	71	67	70
gene2041	yodD	142	157	174	242	122	71
gene2042	dsrA	29	15	63	155	131	102
gene2043	yedP	119	128	195	157	99	55
gene2044	dgcQ	143	157	179	247	270	173
gene2045	yodC	6	9	3	13	5	6
gene2046	yedI	213	358	179	240	172	150
gene2047	yedA	31	22	23	27	20	19
gene2048	vsr	86	64	67	40	45	67
gene2049	dcm	425	434	428	176	192	175
gene205	ileV	0	8	2	0	0	0
gene2050	yedJ	221	229	240	55	78	72
gene2051	yedR	310	417	225	28	14	14
gene2052	rseX	2	5	2	0	0	1
gene2054	hchA	312	304	410	409	136	90
gene2055	hprS	485	578	692	97	107	107
gene2056	hprR	209	211	264	71	52	61
gene2057	yedX	50	55	58	30	18	17
gene2058	msrP	89	91	133	187	183	198
gene2059	msrQ	62	67	98	28	47	33
gene206	alaV	344	479	721	61	67	113
gene2060	zinT	32	23	65	13	24	28
gene2061	yodB	71	65	73	12	19	14
gene2062	serU	4806	3072	9583	6653	4641	5507
gene2063	mtfA	137	119	150	1003	786	1312
gene2064	asnT	65	85	179	64	68	78
gene2065	yeeJ	605	536	492	167	157	130
gene2067	shiA	341	371	366	396	572	546
gene2068	amn	219	225	254	910	967	715
gene2069	yeeN	1408	1672	1827	1128	967	1020
gene207	rrlH	205	324	367	290	417	441
gene2070	asnW	143	69	228	36	25	35
gene2071	yeeO	52	56	56	45	58	35
gene2072	asnU	344	223	553	102	83	125
gene2073	cbl	62	59	88	22	23	15
gene2074	nac	37	31	33	26	17	14
gene2075	asnV	15	16	21	10	13	12
gene2076	ldtA	406	384	372	591	422	285
gene2077	cobT	248	296	230	139	156	84
gene2078	cobS	185	211	139	110	80	41
gene2079	cobU	85	77	68	56	43	30
gene208	rrfH	9	18	14	4	3	7
gene2081	insH-6	57	54	51	11	17	11
gene2085	insD-3	0	2	5	2	1	1
gene2086	insC-3	0	0	0	0	0	0
gene2088	isrC	16	14	18	13	11	15
gene2089	flu	61	38	34	263	245	206
gene209	aspU	129	152	243	80	48	91
gene2090	yeeR	49	27	35	30	37	28
gene2091	yeeS	9	11	11	10	21	8
gene2092	yeeT	3	4	4	1	2	1
gene2093	cbeA	0	2	1	0	0	1
gene2094	cbtA	0	2	1	1	0	0
gene2095	yeeW	38	53	66	76	89	99
gene2097	yoeF	23	11	22	13	9	13
gene2098	yeeX	472	388	518	1429	1409	997
gene2099	yeeA	77	76	104	164	174	186
gene21	insB-1	10	11	9	3	8	1
gene210	dkgB	583	495	536	92	86	102
gene2100	sbmC	82	39	60	136	103	77
gene2101	dacD	62	50	66	32	62	39
gene2102	sbcB	129	160	119	293	385	294
gene2103	yeeD	23	17	18	5	17	7
gene2104	yeeE	78	80	63	12	22	14
gene2105	plaP	2289	1719	2153	309	314	476
gene2106	yoeI	147	104	194	14	14	27
gene2107	yeeY	334	369	366	403	463	289
gene2108	yeeZ	405	418	334	559	644	424
gene2109	yoeB	214	218	162	104	94	76
gene211	yafC	55	74	71	151	176	168
gene2110	yefM	332	314	387	127	150	97
gene2111	hisL	254	262	446	344	325	289
gene2112	hisG	149	104	129	154	178	151
gene2113	hisD	96	76	90	235	278	181
gene2114	hisC	51	40	43	108	139	83
gene2115	hisB	154	96	99	298	341	235
gene2116	hisH	45	35	33	229	247	178
gene2117	hisA	37	23	17	132	181	98
gene2118	hisF	37	22	30	165	161	104
gene2119	hisI	79	67	65	314	345	290
gene212	yafD	297	280	266	542	721	650
gene2120	wzzB	2585	2360	2839	1123	1064	1290
gene2121	ugd	296	329	373	121	121	159
gene2122	gnd	2049	1769	2211	5603	5398	6525
gene2124	insH-7	49	36	20	58	56	80
gene2125	wbbK	628	775	804	944	854	834
gene2126	wbbJ	1440	1556	1571	1136	958	1051
gene2127	wbbI	1009	1150	1331	1147	1084	1241
gene2128	wbbH	411	426	603	658	597	596
gene2129	glf	605	699	768	912	813	749
gene213	yafE	106	142	118	195	273	212
gene2130	rfbX	443	624	756	651	700	742
gene2131	rfbC	581	582	826	566	608	600
gene2132	rfbA	673	678	805	664	640	622
gene2133	rfbD	649	619	558	489	592	553
gene2134	rfbB	1042	1041	1295	709	683	930
gene2135	galF	1360	1507	1402	882	889	975
gene2136	wcaM	55	83	68	27	38	27
gene2137	wcaL	38	40	24	21	24	23
gene2138	wcaK	30	39	20	20	12	6
gene2139	wzxC	15	14	22	7	1	3
gene214	mltD	2273	1922	2824	1144	1357	1522
gene2140	wcaJ	24	18	20	5	5	3
gene2141	cpsG	57	58	61	7	13	11
gene2142	cpsB	50	55	51	10	13	4
gene2143	wcaI	85	77	77	9	12	6
gene2144	gmm	23	46	31	7	3	4
gene2145	fcl	50	47	33	6	7	3
gene2146	gmd	154	132	114	10	5	11
gene2147	wcaF	96	108	90	3	2	1
gene2148	wcaE	394	547	507	3	6	3
gene2149	wcaD	172	246	232	7	3	1
gene215	gloB	186	227	130	199	185	140
gene2150	wcaC	22	18	27	4	11	1
gene2151	wcaB	14	11	7	2	0	1
gene2152	wcaA	34	38	35	4	5	4
gene2153	wzc	87	107	106	6	6	5
gene2154	wzb	30	18	41	1	0	1
gene2155	wza	97	94	123	1	2	1
gene2156	yegH	194	232	276	233	263	177
gene2157	asmA	956	973	874	1993	2026	2352
